"A01AA","CARIES PROPHYLACTIC AGENTS"
"A01AA01","SODIUM FLUORIDE"
"A01AA02","SODIUM MONOFLUOROPHOSPHATE"
"A01AA04","STANNOUS FLUORIDE"
"A01AA30","COMBINATION (CARIES PROPHYLACTIC AGENTS)"
"A01AA51","SODIUM FLUORIDE, COMBINATIONS"
"A01AA52","SODIUM MONOFLUOROPHOSPHATE, COMBINATIONS"
"A01AB","ANTIINFECTIVES FOR LOCAL ORAL TREATMENT"
"A01AB02","HYDROGEN PEROXIDE"
"A01AB03","CHLORHEXIDINE"
"A01AB06","DOMIPHEN"
"A01AB11","VARIOUS"
"A01AB12","HEXETIDINE"
"A01AB22","DOXYCYCLINE"
"A01AB23","MINOCYCLINE"
"A01AC","CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT"
"A01AC01","TRIAMCINOLONE"
"A01AC52","DEXAMETHASONE, COMBINATIONS *"
"A01AC54","PREDNISOLONE, COMBINATIONS"
"A01AD","OTHER AGENTS FOR LOCAL ORAL TREATMENT"
"A01AD01","EPINEPHRINE"
"A01AD02","BENZYDAMINE"
"A01AD11","VARIOUS"
"A01AD51","EPINEPHRINE, COMBINATIONS"
"A02AA01","MAGNESIUM CARBONATE"
"A02AA04","MAGNESIUM HYDROXIDE"
"A02AB01","ALUMINIUM HYDROXIDE"
"A02AC01","CALCIUM CARBONATE"
"A02AD01","ORDINARY SALT COMBINATIONS"
"A02AD02","MAGALDRATE"
"A02AF01","MAGALDRATE AND ANTIFLATULENTS"
"A02AF02","ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS"
"A02AH","ANTACIDS WITH SODIUM BICARBONATE"
"A02AX","ANTACIDS, OTHER COMBINATIONS"
"A02BA01","CIMETIDINE"
"A02BA02","RANITIDINE"
"A02BA03","FAMOTIDINE"
"A02BA04","NIZATIDINE"
"A02BA07","RANITIDINE BISMUTH CITRATE"
"A02BA53","FAMOTIDINE, COMBINATIONS"
"A02BB01","MISOPROSTOL"
"A02BC01","OMEPRAZOLE"
"A02BC02","PANTOPRAZOLE"
"A02BC03","LANSOPRAZOLE"
"A02BC04","RABEPRAZOLE"
"A02BC05","ESOMEPRAZOLE"
"A02BC06","DEXLANSOPRAZOLE"
"A02BD07","LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN"
"A02BX02","SUCRALFATE"
"A02BX03","PIRENZEPINE"
"A02BX13","ALGINIC ACID"
"A02D","ANTIFLATULENTS"
"A02DA","ANTIFLATULENTS"
"A03AA05","TRIMEBUTINE"
"A03AA07","DICYCLOVERINE"
"A03AA57","DICYCLOVERINE, COMBINATIONS"
"A03AB02","GLYCOPYRRONIUM"
"A03AB05","PROPANTHELINE"
"A03AD01","PAPAVERINE"
"A03AE02","TEGASEROD"
"A03AE04","PRUCALOPRIDE"
"A03AX04","PINAVERIUM"
"A03AX13","SILICONES"
"A03BA01","ATROPINE"
"A03BA03","HYOSCYAMINE"
"A03BA04","BELLADONNA TOTAL ALKALOIDS"
"A03BB01","BUTYLSCOPOLAMINE"
"A03CA01","ISOPROPAMIDE AND PSYCHOLEPTICS"
"A03CA02","CLIDINIUM AND PSYCHOLEPTICS"
"A03ED","ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS"
"A03FA01","METOCLOPRAMIDE"
"A03FA02","CISAPRIDE"
"A03FA03","DOMPERIDONE"
"A04AA01","ONDANSETRON"
"A04AA02","GRANISETRON"
"A04AA04","DOLASETRON"
"A04AA05","PALONOSETRON"
"A04AD","OTHER ANTIEMETICS"
"A04AD01","SCOPOLAMINE"
"A04AD10","DRONABINOL"
"A04AD11","NABILONE"
"A04AD12","APREPITANT"
"A05AA","BILE ACID PREPARATIONS"
"A05AA02","URSODEOXYCHOLIC ACID"
"A05AX","OTHER DRUGS FOR BILE THERAPY"
"A05C","DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMB."
"A06AA01","LIQUID PARAFFIN"
"A06AA02","DOCUSATE SODIUM"
"A06AA51","LIQUID PARAFFIN, COMBINATIONS"
"A06AA52","DOCUSATE SODIUM, COMBINATIONS"
"A06AB","CONTACT LAXATIVES"
"A06AB01","ACETPHENOLISATIN"
"A06AB02","BISACODYL"
"A06AB04","PHENOLPHTHALEIN"
"A06AB05","CASTOR OIL"
"A06AB06","SENNA GLYCOSIDES"
"A06AB07","CASCARA"
"A06AB20","CONTACT LAXATIVES IN COMBINATION"
"A06AB30","CONTACT LAXATIVES IN COMB W/ BELLADONNA ALKALOIDS"
"A06AB52","BISACODYL, COMBINATIONS"
"A06AB53","DANTRON, COMBINATIONS"
"A06AB54","PHENOLPHTHALEIN, COMBINATIONS"
"A06AB56","SENNA GLYCOSIDES, COMBINATIONS"
"A06AB57","CASCARA, COMBINATIONS"
"A06AB58","SODIUM PICOSULFATE, COMBINATIONS"
"A06AC01","ISPAGHULA (PSYLLA SEEDS)"
"A06AC03","STERCULIA"
"A06AC05","LINSEED"
"A06AC06","METHYLCELLULOSE"
"A06AC07","TRITICUM (WHEAT FIBRE)"
"A06AC08","POLYCARBOPHIL CALCIUM"
"A06AC51","ISPAGHULA, COMBINATIONS"
"A06AD02","MAGNESIUM OXIDE"
"A06AD04","MAGNESIUM SULPHATE"
"A06AD10","MINERAL SALTS IN COMBINATION"
"A06AD11","LACTULOSE"
"A06AD15","MACROGOL"
"A06AD17","SODIUM PHOSPHATE"
"A06AD18","SORBITOL"
"A06AD19","MAGNESIUM CITRATE"
"A06AD21","SODIUM TARTRATE"
"A06AD54","MAGNESIUM SULPHATE, COMBINATIONS"
"A06AD65","MACROGOL, COMBINATIONS"
"A06AG01","SODIUM PHOSPHATE"
"A06AG04","GLYCEROL"
"A06AG20","COMBINATIONS"
"A06AH01","METHYLNALTREXONE BROMIDE"
"A06AX","OTHER LAXATIVES"
"A06AX01","GLYCEROL"
"A06AX04","LINACLOTIDE"
"A07AA02","NYSTATIN"
"A07AA06","PAROMOMYCIN"
"A07AA09","VANCOMYCIN"
"A07AA11","RIFAXIMIN"
"A07AA12","FIDAXOMICIN"
"A07BA01","MEDICINAL CHARCOAL"
"A07BA51","MEDICINAL CHARCOAL, COMBINATIONS"
"A07BB","BISMUTH PREPARATIONS"
"A07BC04","ATTAPULGITE"
"A07BC30","COMBINATIONS"
"A07BC51","PECTIN, COMBINATIONS"
"A07BC52","KAOLIN, COMBINATIONS"
"A07BC54","ATTAPULGITE, COMBINATIONS"
"A07CA","ORAL REHYDRATION SALT FORMULATIONS"
"A07DA01","DIPHENOXYLATE"
"A07DA02","OPIUM"
"A07DA03","LOPERAMIDE"
"A07DA52","MORPHINE, COMBINATIONS"
"A07DA53","LOPERAMIDE, COMBINATIONS"
"A07EA02","HYDROCORTISONE"
"A07EA04","BETAMETHASONE"
"A07EA05","TIXOCORTOL"
"A07EA06","BUDESONIDE"
"A07EB01","CROMOGLICIC ACID"
"A07EC01","SULFASALAZINE"
"A07EC02","MESALAZINE"
"A07EC03","OLSALAZINE"
"A07FA01","LACTIC ACID PRODUCING ORGANISMS"
"A08AA01","PHENTERMINE"
"A08AA02","FENFLURAMINE"
"A08AA03","AMFEPRAMONE"
"A08AA05","MAZINDOL"
"A08AA10","SIBUTRAMINE"
"A08AB01","ORLISTAT"
"A09AA","ENZYME PREPARATIONS"
"A09AA02","MULTIENZYMES (LIPASE, PROTEASE ETC)"
"A09AA03","PEPSIN"
"A09AA04","TILACTASE"
"A09AA53","PEPSIN, COMBINATIONS"
"A09AB01","GLUTAMIC ACID HYDROCHLORIDE"
"A09AB02","BETAINE HYDROCHLORIDE"
"A09AB52","BETAINE HYDROCHLORIDE, COMBINATIONS"
"A09AC","ENZYME AND ACID PREPARATIONS, COMBINATIONS"
"A09AC01","PEPSIN AND ACID PREPARATIONS"
"A09AC02","MULTIENZYMES AND ACID PREPARATIONS"
"A10AB01","INSULIN (HUMAN)"
"A10AB02","INSULIN (BEEF)"
"A10AB03","INSULIN (PORK)"
"A10AB04","INSULIN LISPRO"
"A10AB05","INSULIN ASPART"
"A10AB06","INSULIN GLULISINE"
"A10AC01","INSULIN (HUMAN)"
"A10AC03","INSULIN (PORK)"
"A10AD01","INSULIN (HUMAN)"
"A10AD04","INSULIN LISPRO"
"A10AD05","INSULIN ASPART"
"A10AE01","INSULIN (HUMAN)"
"A10AE04","INSULIN GLARGINE"
"A10AE05","INSULIN DETEMIR"
"A10BA02","METFORMIN"
"A10BB01","GLIBENCLAMIDE"
"A10BB02","CHLORPROPAMIDE"
"A10BB03","TOLBUTAMIDE"
"A10BB09","GLICLAZIDE"
"A10BB12","GLIMEPIRIDE"
"A10BB31","ACETOHEXAMIDE"
"A10BD03","METFORMIN AND ROSIGLITAZONE"
"A10BD04","GLIMEPIRIDE AND ROSIGLITAZONE"
"A10BD07","METFORMIN AND SITAGLIPTIN"
"A10BD10","Metformin and saxagliptin"
"A10BD11","Metformin and linagliptin"
"A10BD13","METFORMIN AND ALOGLIPTIN"
"A10BF01","ACARBOSE"
"A10BG02","ROSIGLITAZONE"
"A10BG03","PIOGLITAZONE"
"A10BH01","SITAGLIPTIN"
"A10BH03","SAXAGLIPTIN"
"A10BH04","ALOGLIPTIN"
"A10BH05","LINAGLIPTIN"
"A10BX02","REPAGLINIDE"
"A10BX03","NATEGLINIDE"
"A10BX04","EXENATIDE"
"A10BX07","LIRAGLUTIDE"
"A10BX09","Dapagliflozin"
"A10BX11","CANAGLIFLOZIN"
"A11AA01","MULTIVITAMINS AND IRON"
"A11AA02","MULTIVITAMINS AND CALCIUM"
"A11AA03","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS"
"A11AA04","MULTIVITAMINS AND TRACE ELEMENTS"
"A11AB","MULTIVITAMINS, OTHER COMBINATIONS"
"A11BA","MULTIVITAMINS, PLAIN"
"A11CA","VITAMIN A,PLAIN"
"A11CA01","RETINOL (VIT A)"
"A11CA02","BETA-CAROTENE"
"A11CB","VITAMIN A AND D IN COMBINATION"
"A11CC","VITAMIN D AND ANALOGUES"
"A11CC01","ERGOCALCIFEROL"
"A11CC02","DIHYDROTACHYSTEROL"
"A11CC03","ALFACALCIDOL"
"A11CC04","CALCITRIOL"
"A11CC05","COLECALCIFEROL"
"A11DA01","THIAMINE (VIT B1)"
"A11DB","VIT B1 IN COMB WITH VITAMIN B6 AND/OR VITAMIN B12"
"A11EA","VITAMIN B-COMPLEX, PLAIN"
"A11EB","VITAMIN B-COMPLEX WITH VITAMIN C"
"A11EC","VITAMIN B-COMPLEX WITH MINERALS"
"A11EX","VITAMIN B-COMPLEX, OTHER COMBINATIONS"
"A11GA01","ASCORBIC ACID (VIT C)"
"A11GB","ASCORBIC ACID (VIT C), COMBINATIONS"
"A11GB01","ASCORBIC ACID (VIT C) AND CALCIUM"
"A11HA","OTHER PLAIN VITAMIN PREPARATIONS"
"A11HA01","NICOTINAMIDE"
"A11HA02","PYRIDOXINE (VIT B6)"
"A11HA03","TOCOPHEROL (VIT E)"
"A11HA04","RIBOFLAVIN (VIT B2)"
"A11HA05","BIOTIN"
"A11HA06","PYRIDOXAL PHOSPHATE"
"A11HA07","INOSITOL"
"A11HA08","TOCOFERSOLAN"
"A11HA31","CALCIUM PANTOTHENATE"
"A11JA","COMBINATIONS OF VITAMINS"
"A11JB","VITAMINS WITH MINERALS"
"A11JC","VITAMINS, OTHER COMBINATIONS"
"A12AA","CALCIUM"
"A12AA01","CALCIUM PHOSPHATE"
"A12AA03","CALCIUM GLUCONATE"
"A12AA04","CALCIUM CARBONATE"
"A12AA05","CALCIUM LACTATE"
"A12AA07","CALCIUM CHLORIDE"
"A12AA09","CALCIUM CITRATE LYSINE COMPLEX"
"A12AA10","CALCIUM GLUCOHEPTONATE"
"A12AA12","CALCIUM ACETATE ANHYDROUS"
"A12AA20","CALCIUM (DIFFERENT SALTS IN COMBINATION)"
"A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS"
"A12BA","POTASSIUM"
"A12BA01","POTASSIUM CHLORIDE"
"A12BA02","POTASSIUM CITRATE"
"A12BA05","POTASSIUM GLUCONATE"
"A12BA30","COMBINATIONS"
"A12BA51","POTASSIUM CHLORIDE, COMBINATIONS"
"A12BA54","POTASSIUM HYDROGENCARBONATE, COMBINATIONS"
"A12C","OTHER MINERAL SUPPLEMENTS"
"A12CA01","SODIUM CHLORIDE"
"A12CA02","SODIUM SULPHATE"
"A12CB","ZINC"
"A12CB01","ZINC SULPHATE"
"A12CB02","ZINC GLUCONATE"
"A12CB03","ZINC PROTEIN COMPLEX"
"A12CB20","ZINC (DIFFERENT SALTS IN COMBINATION)"
"A12CC","MAGNESIUM"
"A12CC01","MAGNESIUM CHLORIDE"
"A12CC02","MAGNESIUM SULPHATE"
"A12CC03","MAGNESIUM GLUCONATE"
"A12CC04","MAGNESIUM CITRATE"
"A12CC10","MAGNESIUM OXIDE"
"A12CC30","MAGNESIUM (DIFFERENT SALTS IN COMBINATION)"
"A12CD01","SODIUM FLUORIDE"
"A12CE","SELENIUM"
"A12CE02","SODIUM SELENITE"
"A12CX","OTHER MINERAL PRODUCTS"
"A13A","TONICS"
"A14AA05","OXYMETHOLONE"
"A14AA53","METANDIENONE, COMBINATIONS *"
"A14AB01","NANDROLONE"
"A16AA01","LEVOCARNITINE"
"A16AA06","BETAINE"
"A16AB02","IMIGLUCERASE"
"A16AB03","AGALSIDASE ALFA"
"A16AB04","AGALSIDASE BETA"
"A16AB05","LARONIDASE"
"A16AB07","ALGLUCOSIDASE ALFA"
"A16AB08","GALSUFASE"
"A16AB09","IDURSULFASE"
"A16AB10","VELAGLUCERASE ALFA"
"A16AB11","TALIGLUCERASE ALFA"
"A16AB12","ELOSULFASE ALFA"
"A16AX","VARIOUS ALIMENTARY TRACT AND METABOLISM PRODUCTS"
"A16AX02","ANETHOLE TRITHIONE"
"A16AX03","SODIUM PHENYLBUTYRATE"
"A16AX05","ZINC ACETATE"
"A16AX06","MIGLUSTAT"
"A16AX07","SAPROPTERIN"
"B01AA03","WARFARIN"
"B01AA07","ACENOCOUMAROL"
"B01AB01","HEPARIN"
"B01AB02","ANTITHROMBIN"
"B01AB04","DALTEPARIN"
"B01AB05","ENOXAPARIN"
"B01AB06","NADROPARIN"
"B01AB09","DANAPAROID"
"B01AB10","TINZAPARIN"
"B01AB51","HEPARIN, COMBINATIONS"
"B01AC04","CLOPIDOGREL"
"B01AC05","TICLOPIDINE"
"B01AC06","ACETYLSALICYLIC ACID"
"B01AC07","DIPYRIDAMOLE"
"B01AC09","EPOPROSTENOL"
"B01AC13","ABCIXIMAB"
"B01AC16","EPTIFIBATIDE"
"B01AC17","TIROFIBAN"
"B01AC21","TREPROSTINIL"
"B01AC22","PRASUGREL"
"B01AC24","TICAGRELOR"
"B01AC30","COMBINATIONS"
"B01AD01","STREPTOKINASE"
"B01AD02","ALTEPLASE"
"B01AD03","ANISTREPLASE"
"B01AD04","UROKINASE"
"B01AD07","RETEPLASE"
"B01AD09","ANCROD"
"B01AD10","DROTRECOGIN ALFA"
"B01AD11","TENECTEPLASE"
"B01AE02","LEPIRUDIN"
"B01AE03","ARGATROBAN"
"B01AE06","BIVALIRUDIN"
"B01AE07","DABIGATRAN ETEXILATE"
"B01AF02","Apixaban"
"B01AX05","FONDAPARINUX"
"B01AX06","RIVAROXABAN"
"B02AA01","AMINOCAPROIC ACID"
"B02AA02","TRANEXAMIC ACID"
"B02AB01","APROTININ"
"B02AB02","ALFA1 ANTITRYPSIN"
"B02BA","VITAMIN K"
"B02BA01","PHYTOMENADIONE"
"B02BC","LOCAL HEMOSTATICS"
"B02BC06","THROMBIN"
"B02BC10","FIBRINOGEN,HUMAN"
"B02BC30","COMBINATIONS"
"B02BD01","COAGULATION FACTOR IX, II, VII AND X IN COMB"
"B02BD02","COAGULATION FACTOR VIII"
"B02BD03","FACTOR VIII INHIBITOR BYPASSING ACTIVITY"
"B02BD04","COAGULATION FACTOR IX"
"B02BD06","VON WILLEBRAND FACTOR AND COAG. FACT. VIII IN COMB"
"B02BD07","COAGULATION FACTOR XIII"
"B02BD08","EPTACOG ALFA (ACTIVATED)"
"B02BD11","Catridecacog"
"B02BD20","COMBINATIONS"
"B02BD30","THROMBIN"
"B02BX04","ROMIPLOSTIM"
"B02BX05","ELTROMBOPAG"
"B03A","IRON PREPARATIONS"
"B03AA","IRON BIVALENT, ORAL PREPARATIONS"
"B03AA02","FERROUS FUMARATE"
"B03AA03","FERROUS GLUCONATE"
"B03AA07","FERROUS SULPHATE"
"B03AA10","FERROUS ASCORBATE"
"B03AA30","IRON COMBINATIONS"
"B03AA52","FERROUS FUMARATE, COMBINATIONS"
"B03AA57","FERROUS SULPHATE, COMBINATIONS"
"B03AB02","SACCHARATED IRON OXIDE"
"B03AB06","FERRIC CITRATE"
"B03AC","IRON, PARENTERAL PREPARATIONS"
"B03AD01","FERROUS AMINO ACID COMPLEX"
"B03AD02","FERROUS FUMARATE"
"B03AD03","FERROUS SULPHATE"
"B03AE","IRON IN OTHER COMBINATIONS"
"B03AE01","IRON, VITAMIN B12 AND FOLIC ACID"
"B03AE02","IRON, MULTIVITAMINS AND FOLIC ACID"
"B03AE03","IRON AND MULTIVITAMINS"
"B03AE04","IRON, MULTIVITAMINS AND MINERALS"
"B03AE10","VARIOUS COMBINATIONS"
"B03BA01","CYANOCOBALAMIN"
"B03BA03","HYDROXOCOBALAMIN"
"B03BA04","COBAMAMIDE"
"B03BA05","MECOBALAMIN"
"B03BA51","CYANOCOBALAMIN, COMBINATIONS"
"B03BA53","HYDROXOCOBALAMIN, COMBINATIONS"
"B03BA54","COBAMAMIDE, COMBINATIONS"
"B03BB01","FOLIC ACID"
"B03BB51","FOLIC ACID, COMBINATIONS"
"B03XA01","ERYTHROPOIETIN"
"B03XA02","DARBEPOETIN ALFA"
"B05AA01","ALBUMIN"
"B05AA02","OTHER PLASMA PROTEIN FRACTIONS"
"B05AA07","HYDROXYETHYLSTARCH"
"B05AA55","DEXTRAN,COMBINATIONS"
"B05AX03","BLOOD PLASMA"
"B05BA01","AMINO ACIDS"
"B05BA02","FAT EMULSIONS"
"B05BA03","CARBOHYDRATES"
"B05BA10","COMBINATIONS"
"B05BB01","ELECTROLYTES"
"B05BB02","ELECTROLYTES WITH CARBOHYDRATES"
"B05BC01","MANNITOL"
"B05BC02","CARBAMIDE"
"B05BC52","CARBAMIDE, COMBINATIONS"
"B05CA10","COMBINATIONS"
"B05CB01","SODIUM CHLORIDE"
"B05CB10","COMBINATIONS"
"B05CB51","SODIUM CHLORIDE, COMBINATIONS"
"B05CX03","GLYCINE"
"B05CX04","MANNITOL"
"B05CX10","COMBINATIONS"
"B05D","PERITONEAL DIALYTICS"
"B05DB","HYPERTONIC SOLUTIONS"
"B05XA01","POTASSIUM CHLORIDE"
"B05XA02","SODIUM BICARBONATE"
"B05XA03","SODIUM CHLORIDE"
"B05XA05","MAGNESIUM SULPHATE"
"B05XA06","POTASSIUM PHOS INCL COMB W/0TH POT. SALTS"
"B05XA07","CALCIUM CHLORIDE"
"B05XA08","SODIUM ACETATE"
"B05XA09","SODIUM PHOSPHATE"
"B05XA17","POTASSIUM ACETATE"
"B05XA30","COMBINATIONS OF ELECTROLYTES"
"B05XA31","ELECTROLYTES IN COMB WITH OTHER DRUGS"
"B05XA55","MAGNESIUM SULPHATE, COMBINATIONS"
"B05XC","VITAMINS"
"B05XX02","TROMETAMOL"
"B05ZA","HEMODIALYTICS, CONCENTRATES"
"B06AA03","HYALURONIDASE"
"B06AA11","BROMELAINS"
"B06AC01","C1-INHIBITOR, plasma derived"
"B06AC02","ICATIBANT"
"C01AA04","DIGITOXIN"
"C01AA05","DIGOXIN"
"C01BA01","QUINIDINE"
"C01BA02","PROCAINAMIDE"
"C01BA03","DISOPYRAMIDE"
"C01BB01","LIDOCAINE"
"C01BB02","MEXILETINE"
"C01BB03","TOCAINIDE"
"C01BC03","PROPAFENONE"
"C01BC04","FLECAINIDE"
"C01BD01","AMIODARONE"
"C01BD02","BRETYLIUM TOSILATE"
"C01BD05","IBUTILIDE"
"C01BD07","DRONEDARONE"
"C01CA02","ISOPRENALINE"
"C01CA03","NOREPINEPHRINE"
"C01CA04","DOPAMINE"
"C01CA06","PHENYLEPHRINE"
"C01CA07","DOBUTAMINE"
"C01CA10","METHOXAMINE"
"C01CA11","MEPHENTERMINE"
"C01CA17","MIDODRINE"
"C01CA24","EPINEPHRINE"
"C01CA26","EPHEDRINE"
"C01CA74","EPINEPHRINE, COMBINATIONS"
"C01CE","PHOSPHODIESTERASE INHIBITORS"
"C01CE01","AMRINONE"
"C01CE02","MILRINONE"
"C01DA02","GLYCERYL TRINITRATE"
"C01DA05","PENTAERITHRITYL TETRANITRATE"
"C01DA08","ISOSORBIDE DINITRATE"
"C01DA14","ISOSORBIDE MONONITRATE"
"C01DX19","NESIRITIDE"
"C01EA01","ALPROSTADIL"
"C01EB03","INDOMETACIN"
"C01EB09","UBIDECARENONE"
"C01EB10","ADENOSINE"
"C02AA02","RESERPINE"
"C02AA04","RAUWOLFIA ALKALOIDS, WHOLE ROOT"
"C02AB02","METHYLDOPA (RACEMIC)"
"C02AC01","CLONIDINE"
"C02AC02","GUANFACINE"
"C02CA01","PRAZOSIN"
"C02CA04","DOXAZOSIN"
"C02CC02","GUANETHIDINE"
"C02DA01","DIAZOXIDE"
"C02DB02","HYDRALAZINE"
"C02DC01","MINOXIDIL"
"C02DD01","NITROPRUSSIDE"
"C02KX","ANTIHYPERTENSIVES FOR PULMONARY ARTERIAL HYPERTENSION"
"C02KX01","BOSENTAN"
"C02KX02","AMBRISENTAN"
"C02KX03","SITAXENTAN"
"C02KX04","MACITENTAN"
"C02KX05","RIOCIGUAT"
"C02LA01","RESERPINE  AND DIURETICS"
"C02LB01","METHYLDOPA (LEVOROTATORY) AND DIURETICS"
"C02LC01","CLONIDINE AND DIURETICS"
"C03AA01","BENDROFLUMETHIAZIDE"
"C03AA03","HYDROCHLOROTHIAZIDE"
"C03AA08","METHYCLOTHIAZIDE"
"C03BA04","CHLORTALIDONE"
"C03BA08","METOLAZONE"
"C03BA11","INDAPAMIDE"
"C03BD","XANTHINE DERIVATIVES"
"C03CA01","FUROSEMIDE"
"C03CA02","BUMETANIDE"
"C03CA04","TORASEMIDE"
"C03CC01","ETACRYNIC ACID"
"C03DA01","SPIRONOLACTONE"
"C03DA04","EPLERENONE"
"C03DB01","AMILORIDE"
"C03DB02","TRIAMTERENE"
"C03EA01","HYDROCHLOROTHIAZIDE AND POTASSIUM-SPARING AGENTS"
"C03XA01","TOLVAPTAN"
"C04AA02","BUPHENINE"
